Domain;Subdomain;Skill
"Basic Living Skills	Self Management	SM1. Aggression towards others";;
"Basic Living Skills	Self Management	SM2. Self-injurious behavior";;
"Basic Living Skills	Self Management	SM3. Disruptive behavior";;
"Basic Living Skills	Self Management	SM4. Socially acceptable behavior in a variety of settings";;
"Basic Living Skills	Self Management	SM5. Follows directions from multiple caregivers";;
"Basic Living Skills	Self Management	SM6. Cooperates and obeys rules in multiple locations";;
"Basic Living Skills	Self Management	SM7. Remains calm when learner needs to stay seated";;
"Basic Living Skills	Self Management	SM8. Remains calm when there is a change in direction when walking or riding in car";;
"Basic Living Skills	Self Management	SM9. Remains calm when items are moved from a specific position";;
"Basic Living Skills	Self Management	SM10. Remains calm when required to wear different clothing, shoes, etc.";;
"Basic Living Skills	Self Management	SM11. Consumes a healthy variety of foods and eats foods as they are typically prepared";;
"Basic Living Skills	Self Management	SM12. Remains calm when loud or unexpected noises are present";;
"Basic Living Skills	Self Management	SM13. Remains calm when schedule is changed, preferred items/activities are restricted, told No or made to wait";;
"Basic Living Skills	Self Management	SM14. Remains calm during suddenly occurring or unexpected events";;
"Basic Living Skills	Self Management	SM15. Remains calm when there is a change in common routine";;
"Basic Living Skills	Self Management	SM16. Remains calm when missing required items";;
"Basic Living Skills	Self Management	SM17. Remains calm when having trouble performing difficult or multiple step tasks";;
"Basic Living Skills	Self Management	SM18. Remains calm when group or friend makes decision that learner must follow";;
"Basic Living Skills	Self Management	SM19. Remains calm during hygiene and grooming routines";;
"Basic Living Skills	Self Management	SM20. Allows hair to be cut";;
"Basic Living Skills	Self Management	SM21. Refrains from touching others' possessions";;
"Basic Living Skills	Self Management	SM22. Identifies major norms and rules in community settings and identifies which behaviors are inappropriate in those settings";;
"Basic Living Skills	Self Management	SM23. Complies with various authority figures";;
"Basic Living Skills	Self Management	SM24. Takes appropriate action to deal with or report wrongdoing by others";;
"Basic Living Skills	Self Management	SM25. Asks for reasonable modifications in environment";;
"Basic Living Skills	Self Managment Objective	Learner will not demonstrate aggression towards others.";;
"Basic Living Skills	Self Managment Objective	Learner will not demonstrate self-injurious behavior.";;
"Basic Living Skills	Self Managment Objective	Learner will not demonstrate disruptive behavior.";;
"Basic Living Skills	Self Managment Objective	Learner will demonstrate socially acceptable behavior in a variety of settings.";;
"Basic Living Skills	Self Managment Objective	Learner will follow directions from multiple caregivers.";;
"Basic Living Skills	Self Managment Objective	Learner will be cooperative and obey rules in multiple locations.";;
"Basic Living Skills	Self Managment Objective	Learner will stay calm in seat when situation requires learner to be seated.";;
"Basic Living Skills	Self Managment Objective	Learner will react calmly or appropriately when there is a change in direction while walking or riding in a car.";;
"Basic Living Skills	Self Managment Objective	Learner will react calmly or appropriately when items are moved from a specific position.";;
"Basic Living Skills	Self Managment Objective	Learner will react calmly or appropriately when required to wear different clothing, shoes, etc.";;
"Basic Living Skills	Self Managment Objective	Learner will consume a reasonable variety of foods and will eat them as they are typically prepared.";;
"Basic Living Skills	Self Managment Objective	Learner will react calmly and appropriately when loud or unexpected noises are present.";;
"Basic Living Skills	Self Managment Objective	Learner will react calmly when schedule is changed, preferred items/activities are restricted, told No or made to wait.";;
"Basic Living Skills	Self Managment Objective	Learner will react calmly or appropriately to suddenly occurring or unexpected events.";;
"Basic Living Skills	Self Managment Objective	Learner will react calmly or appropriately when there is a change in a common routine.";;
"Basic Living Skills	Self Managment Objective	Learner will react calmly or appropriately when missing required items for activities.";;
"Basic Living Skills	Self Managment Objective	Learner will react calmly or appropriately when having trouble performing difficult or multiple step tasks.";;
"Basic Living Skills	Self Managment Objective	Learner will react calmly when decision is made by a friend or a group.";;
"Basic Living Skills	Self Managment Objective	Learner will cooperate with hygiene and grooming routines.";;
"Basic Living Skills	Self Managment Objective	Learner will allow hair to be cut.";;
"Basic Living Skills	Self Managment Objective	Learner will not touch others' possessions.";;
"Basic Living Skills	Self Managment Objective	Learner will identify major rules or norms in different settings and identify which behaviors are inappropriate in those settings.";;
"Basic Living Skills	Self Managment Objective	Learner will comply with various authority figures.";;
"Basic Living Skills	Self Managment Objective	Learner will take appropriate action to deal with or report the wrongdoing of others.";;
